web-scraper-order,typ,dessert-href,wein_name_raw,jahrgang_raw,genussreife_raw,land_raw,region_raw,produzent_raw,rebsorte_raw,alkohol_raw,inhalt_raw,preis_chf_raw
1671145644-7113,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/chateau-d-yquem-1er-cru-classe-superieur-sauternes-aoc/p/3174938007,Château d'Yquem 1er Cru Classé Supérieur Sauternes AOC,2007,2022-2050,Frankreich,null,"Sauvignon Blanc, 
                                Sémillon",null,14.50%,37.5cl,329
1671145646-7114,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/bordeaux-sauternes-aoc-clos-haut-peyraguey/p/6367238002,Bordeaux - Sauternes AOC Clos Haut Peyraguey,2010,2020-2030,Frankreich,null,"Sauvignon Blanc, 
                                Sémillon",null,12.50%,75cl,72.95
1671145648-7115,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/bordeaux-sauternes-aoc-clos-haut-peyraguey/p/6367238001,Bordeaux - Sauternes AOC Clos Haut Peyraguey,2008,2020-2030,Frankreich,null,"Sauvignon Blanc, 
                                Sémillon",null,14.50%,75cl,68.5
1671145650-7117,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/bombo-moscato-d-asti-docg-bio/p/1018596001,Bombo Moscato d'Asti DOCG BIO,2021,2022-2031,Italien,Piemont,Baldi,Barbera,5.50%,75cl,13.5
1671145652-7118,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/birbet-brachetto-mosto-parzialmente-fermentato/p/1018583001,Birbet Brachetto mosto parzialmente fermentato,2021,2022-2024,Italien,Piemont,Angelo Negro,Brachetto,5.00%,75cl,16.5
1671145654-7120,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/beerenauslese-nachtgold-p-mertes/p/1016333002,Beerenauslese Nachtgold P. Mertes,2020,2021-2022,Deutschland,null,Assemblage de cépages,null,9.50%,37.5cl,11.5
1671145656-7121,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/beerenauslese-nachtgold-p-mertes/p/1016333001,Beerenauslese Nachtgold P. Mertes,2019,2022-2025,Deutschland,null,Assemblage de cépages,null,9.50%,37.5cl,11.5
1671145658-7122,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/baccadoro-passito-terre-siciliane-igt/p/7103282,Baccadoro Passito Terre Siciliane IGT,2022-2024,Italien,Sizilien,null,"Grillo, 
                                Muscat",null,12.00%,50cl,18.5
1671145661-7124,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/valais-aoc-amigne-mitis-grain-noble-vetroz-jean-rene-germanier/p/1000028017,Valais AOC Amigne Mitis Grain Noble Vétroz Jean-René Germanier,2018,2021-2035,Schweiz,Wallis,Jean-René Germanier,null,14.00%,37.5cl,23.25
1671145663-7125,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/chateau-suduiraut-1er-cru-classe-sauternes-aoc/p/3173372006,Château Suduiraut 1er Cru Classé Sauternes AOC,2006,2022-2026,Frankreich,null,Château Suduiraut,Sauvignon Blanc,13.00%,37.5cl,32.5
1671145665-7126,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/recioto-di-soave-rocca-alata-docg/p/1000673012,Recioto di Soave Rocca Alata DOCG,2017,2022-2025,Italien,Venetien,Cantina di Soave,Garganega,12.50%,37.5cl,14.95
1671145668-7128,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/tokaji-aszu-5-puttonyos-hetszolo/p/6458689001,Tokaji Aszú 5 Puttonyos Hétszolo,2008,2022-2038,Ungarn,null,"Hárslevelú, 
                                Furmint",null,12.00%,50cl,29.95
1671145671-7129,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/piemonte-docg-moscato-d-asti-vendemmia-tardiva-palazzina/p/1017234001,Piemonte DOCG Moscato d'Asti Vendemmia Tardiva Palazzina,2015,2022-2025,Italien,Piemont,Araldica,Muscat,14.00%,37.5cl,11.5
1671145673-7131,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/chateau-de-cosse-ac-sauternes-barons-rothschild/p/1000299015,Château de Cosse AC Sauternes Barons Rothschild,2017,2022-2027,Frankreich,null,Domaines Barons de Rothschild,Sauvignon Blanc,13.50%,75cl,36.5
1671145675-7132,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/tokaji-aszu-5-puttonyos-disznkoe/p/1008575008,Tokaji Aszú 5 Puttonyos Disznókö,2012,2018-2034,Ungarn,null,Disznókö,Furmint,12.50%,50cl,36.5
1671145677-7134,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/recioto-della-valpolicella-classico-doc-fratelli-zeni/p/1003778015,Recioto della Valpolicella Classico DOC Fratelli Zeni,2020,Italien,Venetien,null,"Molinara, 
                                Corvina, 
                                Rondinella",null,13.00%,37.5cl,16.5
1671145679-7135,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/vin-santo-di-montepulciano-tenuta-trerose/p/1016443001,Vin Santo di Montepulciano Tenuta Trerose,2012,2022-2031,Italien,Toskana,Cantina Tre Rose,Malvasia,15.50%,50cl,19.95
1671145681-7136,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/valais-aoc-amigne-mitis-grain-noble-vetroz-jean-rene-germanier/p/1000028015,Valais AOC Amigne Mitis Grain Noble Vétroz Jean-René Germanier,2016,2022-2036,Schweiz,Wallis,Jean-René Germanier,null,14.00%,37.5cl,23.25
1671145683-7138,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/le-petit-vari-monbazillac-aoc/p/1009454012,Le Petit Vari Monbazillac AOC,2020,2024-2025,Frankreich,null,Sémillon,null,12.50%,75cl,13.95
1671145685-7139,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/samos-pdo-muscat-kourtaki/p/3378204,Samos PDO Muscat Kourtaki,2022-2025,Griechenland,null,null,Muscat,null,15.00%,75cl,9.95
1671145688-7140,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/sauternes-aoc-les-sables-d-or/p/1000786018,Sauternes AOC Les Sables d'Or,2020,2021-2022,Frankreich,null,Coop,Muscadelle,13.00%,50cl,10.45
1671145690-7142,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/muscat-de-beaumes-de-venise-aoc-fenouillet/p/1001771018?trackingtoken=plprelevanz%7Carea1%7CA%7CPLPRelevanz%7CPLPRelevanz_U2P%7CU2PS,Muscat de Beaumes-de-Venise AOC Fenouillet,2021,2023-2025,Frankreich,Côtes du Rhône,Diva Sud,Muscat,15.00%,50cl,15.95
1671145692-7143,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/banyuls-rimage-aop-les-clos-de-paulilles/p/1012668008?trackingtoken=plprelevanz%7Carea1%7CA%7CPLPRelevanz%7CPLPRelevanz_U2P%7CU2PS,Banyuls-Rimage AOP Les clos de Paulilles,2019,2023-2026,Frankreich,Languedoc-Roussillon,A. Cazes,Grenache,16.50%,50cl,15.95
1671145694-7144,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/passito-di-pantelleria-doc-nes-duca-di-castelmonte/p/1000603015?trackingtoken=plprelevanz%7Carea1%7CA%7CPLPRelevanz%7CPLPRelevanz_U2P%7CU2PS,Passito di Pantelleria DOC Nes Duca di Castelmonte,2019,2022-2023,Italien,Sizilien,Cantine Pellegrino,Muscat,14.50%,37.5cl,14.95
1671145696-7146,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/sauternes-aoc-les-sables-d-or/p/1000786019?trackingtoken=plprelevanz%7Carea1%7CA%7CPLPRelevanz%7CPLPRelevanz_U2P_Promo%7CU2PS,Sauternes AOC Les Sables d'Or,2021,2022-2023,Frankreich,null,Coop,Muscadelle,13.00%,50cl,10.45
1671145699-7147,dessert,https://www.coop.ch/de/weine/wein-sortiment/suess-dessertweine/beerenauslese-terrassen-domaene-wachau/p/1009999005?trackingtoken=plprelevanz%7Carea1%7CA%7CPLPRelevanz%7CPLPRelevanz_U2P_Promo%7CU2PS,Beerenauslese Terrassen Domäne Wachau,2014,2022-2025,Österreich,null,Domäne Wachau,Pinot Blanc,9.00%,37.5cl,22.35
